dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
Houston,7;12,commercial buildings;the second kind of parking lot,15,0.602887,0.043021,0.545776,0.050796,0.569175,0.046860,0.810133,0.010950,0.799323,0.008050,0.794741,0.011776,0.859506,0.010219,0.426199,0.018499,0.569695,0.018552,0.877158,0.007731,0.293395,0.012735,0.439599,0.015062,267.67,0.27
Houston,1;2,stressed grass;synthetic grass,15,0.586727,0.023620,0.497567,0.022764,0.550343,0.025839,0.791451,0.017540,0.793713,0.013553,0.774625,0.018789,0.846469,0.012040,0.422774,0.056595,0.562077,0.052939,0.865226,0.009218,0.328883,0.044026,0.475135,0.047547,291.71,0.31
Houston,0;4,healthy grass;soil,15,0.532095,0.006794,0.490941,0.007700,0.493462,0.007559,0.759089,0.010093,0.796053,0.007098,0.739851,0.010837,0.817844,0.012957,0.463625,0.006388,0.591676,0.003762,0.846924,0.008854,0.465394,0.006413,0.600629,0.004125,287.24,0.30
Houston,9;14,highway;running track,15,0.578767,0.023495,0.489397,0.021308,0.541929,0.025369,0.842495,0.005091,0.852302,0.003408,0.829855,0.005433,0.839301,0.007425,0.864732,0.021083,0.851619,0.008376,0.859318,0.006096,0.806699,0.030129,0.831785,0.014451,279.93,0.30
Houston,2;11,synthetic grass;the first kind of parking lot,15,0.574730,0.040124,0.489526,0.044275,0.537068,0.044006,0.786307,0.009240,0.789676,0.007562,0.769215,0.009863,0.871529,0.008430,0.208074,0.041755,0.333869,0.053869,0.886101,0.008364,0.162918,0.032616,0.273769,0.046042,300.13,0.31
HS-SAR-Berlin,1;2,residential area;industrial area,8,0.310490,0.004555,0.525131,0.033602,0.248725,0.008070,0.373593,0.001540,0.738453,0.004045,0.328239,0.001281,0.959369,0.001535,0.014943,0.002136,0.029418,0.004140,0.947919,0.000939,0.110055,0.015729,0.196840,0.025220,507.38,0.64
HS-SAR-Berlin,0;5,forest;allotment,8,0.712708,0.003733,0.370873,0.006204,0.491165,0.014084,0.851157,0.002427,0.707457,0.005188,0.757976,0.003955,0.960321,0.001258,0.217186,0.013831,0.354038,0.018430,0.898315,0.004183,0.134883,0.008590,0.234454,0.013126,511.95,0.59
HS-SAR-Berlin,4;6,soil;commercial area,8,0.762464,0.004332,0.380547,0.014514,0.591409,0.011960,0.899421,0.001627,0.750895,0.009114,0.834481,0.002738,0.961556,0.002948,0.278169,0.013779,0.431302,0.016218,0.888787,0.015930,0.337218,0.016704,0.488526,0.015589,477.61,0.60
HS-SAR-Berlin,0;4,forest;soil,8,0.683633,0.007394,0.280353,0.010739,0.432880,0.015315,0.830914,0.001973,0.735299,0.008887,0.727538,0.003231,0.953169,0.001903,0.168307,0.010318,0.285957,0.014813,0.863883,0.011361,0.349547,0.021429,0.497269,0.021048,515.84,0.66
HS-SAR-Berlin,3;7,low plants;water,8,0.700821,0.004600,0.379631,0.021431,0.458469,0.023046,0.818907,0.000910,0.689202,0.006531,0.710205,0.001871,0.950747,0.001026,0.021872,0.002223,0.042751,0.004260,0.882900,0.007651,0.108110,0.010986,0.192437,0.017714,522.02,0.63
MUUFL,6;9,building shadow;yellow curb,11,0.807161,0.014672,0.434806,0.014448,0.739631,0.019453,0.819519,0.009741,0.688924,0.017375,0.765653,0.012364,0.826652,0.010128,0.668091,0.014590,0.738855,0.009992,0.761731,0.020570,0.361292,0.007890,0.490033,0.009609,15.80,0.01
MUUFL,4;5,road;water,11,0.715252,0.009247,0.409635,0.015570,0.619904,0.013196,0.774814,0.003774,0.612016,0.011129,0.706871,0.004447,0.848871,0.008334,0.292994,0.027903,0.434706,0.030282,0.701224,0.012766,0.210579,0.050010,0.320377,0.060136,15.81,0.01
MUUFL,0;6,trees;building shadow,11,0.430304,0.005892,0.435942,0.031606,0.364008,0.007319,0.686179,0.004767,0.664079,0.010581,0.615381,0.006245,0.768050,0.012916,0.595554,0.006058,0.670782,0.002993,0.668309,0.013801,0.645042,0.004076,0.656352,0.004669,13.56,0.02
MUUFL,4;8,road;sidewalk,11,0.714232,0.007984,0.404177,0.013647,0.616524,0.010265,0.820919,0.004752,0.677570,0.011333,0.763437,0.006380,0.874426,0.007402,0.518534,0.061865,0.648607,0.046068,0.755436,0.016620,0.327172,0.037397,0.455031,0.034151,15.10,0.01
MUUFL,3;4,dirt or sand;road,11,0.698643,0.008326,0.345254,0.014084,0.594303,0.012191,0.794278,0.006018,0.672956,0.009780,0.731218,0.007310,0.855945,0.009767,0.467029,0.014486,0.604077,0.009738,0.688717,0.014713,0.602028,0.017326,0.642104,0.006137,15.55,0.02
