dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
Houston,7;12,commercial buildings;the second kind of parking lot,15,0.584429,0.041713,0.532383,0.041693,0.549227,0.045191,0.810554,0.009755,0.800151,0.007223,0.795238,0.010463,0.860804,0.010584,0.419803,0.015898,0.564189,0.014574,0.878791,0.008086,0.288992,0.010944,0.434831,0.012337,240.20,0.28
Houston,1;2,stressed grass;synthetic grass,15,0.536636,0.041624,0.455896,0.044136,0.495702,0.045635,0.796272,0.009564,0.798021,0.006720,0.779762,0.010204,0.849126,0.009523,0.442094,0.022741,0.581130,0.020706,0.867883,0.006512,0.343913,0.017691,0.492366,0.018730,252.31,0.27
Houston,0;4,healthy grass;soil,15,0.473651,0.025679,0.441252,0.028805,0.430893,0.028016,0.764933,0.004681,0.800515,0.004355,0.746096,0.005011,0.821238,0.006039,0.481791,0.004594,0.607270,0.003117,0.849267,0.005198,0.483630,0.004611,0.616275,0.003569,259.17,0.31
Houston,9;14,highway;running track,15,0.556903,0.028234,0.483775,0.033263,0.518758,0.030920,0.843097,0.006811,0.853017,0.005377,0.830499,0.007290,0.839862,0.009696,0.865625,0.020923,0.852307,0.007664,0.859947,0.009257,0.807974,0.029899,0.832700,0.013309,250.83,0.32
Houston,2;11,synthetic grass;the first kind of parking lot,15,0.562144,0.019655,0.498399,0.039083,0.524020,0.021970,0.782621,0.005901,0.786637,0.004932,0.765191,0.006310,0.871577,0.006543,0.179051,0.032086,0.295640,0.045774,0.886098,0.006118,0.140137,0.025112,0.241030,0.038518,254.32,0.31
HS-SAR-Berlin,1;2,residential area;industrial area,8,0.306941,0.002017,0.504490,0.023633,0.242407,0.005051,0.372638,0.000639,0.735069,0.003232,0.326020,0.000763,0.959921,0.001306,0.013064,0.001201,0.025775,0.002336,0.948017,0.003271,0.096223,0.008842,0.174589,0.014565,469.57,0.54
HS-SAR-Berlin,0;5,forest;allotment,8,0.714160,0.005280,0.378025,0.015152,0.484194,0.017180,0.852473,0.003556,0.707590,0.004000,0.759749,0.005657,0.961338,0.001418,0.220242,0.028902,0.357438,0.037860,0.897860,0.002159,0.136781,0.017949,0.236923,0.026827,456.01,0.52
HS-SAR-Berlin,4;6,soil;commercial area,8,0.771739,0.005151,0.393081,0.009882,0.611615,0.009756,0.898096,0.002226,0.744971,0.008416,0.831923,0.003743,0.960278,0.002863,0.276380,0.015855,0.428967,0.018797,0.881611,0.010032,0.335049,0.019221,0.485220,0.019804,453.70,0.51
HS-SAR-Berlin,0;4,forest;soil,8,0.687952,0.003033,0.294634,0.022788,0.436992,0.014872,0.830679,0.000998,0.729058,0.004751,0.726683,0.001745,0.952951,0.000964,0.167978,0.010528,0.285465,0.015125,0.855790,0.003883,0.348864,0.021865,0.495239,0.021582,467.26,0.53
HS-SAR-Berlin,3;7,low plants;water,8,0.707675,0.006173,0.391233,0.028527,0.467517,0.026106,0.819319,0.001422,0.690722,0.005582,0.710892,0.002315,0.951206,0.001611,0.022009,0.002041,0.043015,0.003910,0.884700,0.006694,0.108788,0.010089,0.193586,0.016215,487.24,0.56
MUUFL,6;9,building shadow;yellow curb,11,0.723739,0.024726,0.372457,0.021654,0.626253,0.033518,0.812538,0.008478,0.675573,0.013356,0.756676,0.010822,0.823301,0.008653,0.584045,0.018249,0.683180,0.013364,0.755513,0.016500,0.315842,0.009869,0.445307,0.009736,34.26,0.04
MUUFL,4;5,road;water,11,0.689482,0.010378,0.380615,0.016306,0.584735,0.013956,0.771221,0.010671,0.614201,0.010574,0.703050,0.012669,0.844944,0.012641,0.291581,0.032027,0.432460,0.035288,0.699058,0.013332,0.232347,0.088648,0.339362,0.088304,34.85,0.05
MUUFL,0;6,trees;building shadow,11,0.374182,0.013499,0.394887,0.032210,0.305039,0.017316,0.675429,0.005677,0.656833,0.010842,0.603780,0.006952,0.767169,0.013598,0.573880,0.007879,0.656466,0.004518,0.668836,0.015660,0.602819,0.018241,0.633733,0.007166,31.10,0.03
MUUFL,4;8,road;sidewalk,11,0.686799,0.002857,0.370969,0.008139,0.579111,0.003721,0.817154,0.013652,0.670951,0.016356,0.758593,0.017866,0.873960,0.002918,0.496126,0.100685,0.626897,0.080075,0.749949,0.012119,0.315458,0.058189,0.441146,0.057392,33.44,0.06
MUUFL,3;4,dirt or sand;road,11,0.668951,0.007997,0.328516,0.010731,0.555851,0.011068,0.787301,0.007011,0.670512,0.009668,0.722933,0.008905,0.850175,0.010124,0.453648,0.020082,0.591244,0.015850,0.687540,0.012630,0.593889,0.018254,0.637022,0.010175,30.57,0.04
