dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
Houston,7;12,commercial buildings;the second kind of parking lot,15,0.573385,0.041910,0.506011,0.055570,0.536947,0.046469,0.815529,0.003839,0.803481,0.003477,0.800289,0.004125,0.848039,0.004674,0.562731,0.007828,0.676488,0.005234,0.867496,0.004685,0.387384,0.005389,0.535555,0.004457,291.58,0.29
Houston,1;2,stressed grass;synthetic grass,15,0.582242,0.029633,0.495334,0.024009,0.545456,0.032032,0.798248,0.009938,0.799340,0.008039,0.781673,0.010740,0.841266,0.011549,0.509984,0.009756,0.634920,0.007809,0.861281,0.009399,0.396725,0.007589,0.543162,0.007075,286.05,0.27
Houston,0;4,healthy grass;soil,15,0.509530,0.029678,0.470535,0.040534,0.468985,0.032936,0.769026,0.004109,0.802813,0.003994,0.750342,0.004414,0.847047,0.006598,0.376679,0.014936,0.521236,0.013209,0.868151,0.004969,0.378117,0.014993,0.526597,0.014019,278.73,0.30
Houston,9;14,highway;running track,15,0.596230,0.029546,0.509953,0.029473,0.561245,0.032141,0.800491,0.017650,0.798539,0.014000,0.784078,0.019074,0.842138,0.009279,0.510491,0.096720,0.630712,0.074688,0.860988,0.008911,0.392618,0.074387,0.535328,0.069257,278.48,0.30
Houston,2;11,synthetic grass;the first kind of parking lot,15,0.593160,0.038240,0.509606,0.048525,0.557378,0.042187,0.761892,0.011833,0.772641,0.016587,0.743087,0.012862,0.869181,0.004377,0.033933,0.067867,0.056852,0.113704,0.884281,0.005682,0.046979,0.093958,0.074389,0.148778,294.85,0.33
HS-SAR-Berlin,1;2,residential area;industrial area,8,0.307196,0.002542,0.506047,0.026028,0.240049,0.004594,0.376223,0.001886,0.745702,0.005465,0.317700,0.003160,0.959515,0.001708,0.019094,0.003369,0.037420,0.006471,0.947392,0.003544,0.140631,0.024812,0.244036,0.037402,566.42,0.65
HS-SAR-Berlin,0;5,forest;allotment,8,0.710733,0.004677,0.364012,0.018024,0.483227,0.016312,0.862628,0.003277,0.721016,0.005382,0.776006,0.005532,0.961413,0.000547,0.288932,0.023231,0.443824,0.027114,0.901541,0.002782,0.179441,0.014428,0.299059,0.020025,566.49,0.65
HS-SAR-Berlin,4;6,soil;commercial area,8,0.770078,0.005316,0.385282,0.009266,0.604051,0.008846,0.899129,0.002014,0.748990,0.005750,0.833749,0.003416,0.961225,0.002166,0.278274,0.018615,0.431258,0.022060,0.886206,0.005375,0.337344,0.022567,0.488210,0.023096,545.14,0.61
HS-SAR-Berlin,0;4,forest;soil,8,0.691658,0.001509,0.299682,0.011637,0.445414,0.009936,0.847828,0.001167,0.751419,0.013924,0.753924,0.003047,0.952476,0.003085,0.280649,0.012925,0.433368,0.015039,0.860154,0.023669,0.425212,0.023916,0.568311,0.017459,506.99,0.56
HS-SAR-Berlin,3;7,low plants;water,8,0.704976,0.002333,0.388896,0.020967,0.464204,0.014431,0.818161,0.002161,0.680159,0.008709,0.706525,0.004123,0.951128,0.002529,0.014320,0.001892,0.028207,0.003674,0.883285,0.011226,0.070779,0.009351,0.130896,0.016056,484.91,0.61
MUUFL,6;9,building shadow;yellow curb,11,0.798204,0.011022,0.417296,0.025234,0.726448,0.016378,0.821029,0.007762,0.692013,0.010449,0.767939,0.009889,0.825933,0.007775,0.716914,0.024643,0.767359,0.015221,0.759168,0.012322,0.389818,0.016252,0.514895,0.014362,20.53,0.02
MUUFL,4;5,road;water,11,0.713115,0.016475,0.401058,0.016259,0.615683,0.022050,0.809667,0.004955,0.637738,0.020520,0.750402,0.006873,0.861341,0.007350,0.473477,0.017048,0.610801,0.012979,0.707798,0.014545,0.322467,0.066131,0.439540,0.061871,20.83,0.02
MUUFL,0;6,trees;building shadow,11,0.427767,0.010251,0.441693,0.048390,0.363080,0.016236,0.672206,0.003864,0.672778,0.010290,0.603452,0.005504,0.778658,0.010505,0.554371,0.005397,0.647570,0.002396,0.676247,0.012817,0.657164,0.007552,0.666472,0.006617,18.20,0.02
MUUFL,4;8,road;sidewalk,11,0.709252,0.010702,0.388915,0.021691,0.610067,0.015134,0.825127,0.002599,0.684965,0.009311,0.769339,0.003924,0.875243,0.007027,0.541907,0.053245,0.667590,0.038699,0.750565,0.009415,0.389761,0.036600,0.511983,0.031987,21.03,0.02
MUUFL,3;4,dirt or sand;road,11,0.693572,0.008715,0.350535,0.018053,0.588457,0.011966,0.825626,0.004166,0.697210,0.009726,0.770800,0.005398,0.862838,0.006614,0.628147,0.025572,0.726638,0.016073,0.700026,0.011663,0.684538,0.022001,0.691936,0.011856,16.17,0.01
