dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
Houston,7;12,commercial buildings;the second kind of parking lot,15,0.576342,0.040399,0.514855,0.040111,0.540096,0.044134,0.811044,0.009344,0.800354,0.006867,0.795808,0.009997,0.861104,0.008809,0.421771,0.017928,0.566047,0.017565,0.878816,0.006855,0.290347,0.012342,0.436359,0.014390,273.36,0.31
Houston,1;2,stressed grass;synthetic grass,15,0.552109,0.016777,0.468431,0.016488,0.512543,0.018340,0.795907,0.006968,0.797905,0.006623,0.779360,0.007448,0.850060,0.008260,0.433028,0.034710,0.572851,0.030365,0.868835,0.006328,0.336860,0.027001,0.484850,0.028422,268.85,0.40
Houston,0;4,healthy grass;soil,15,0.509124,0.022638,0.476808,0.028061,0.468400,0.024706,0.763588,0.005927,0.799926,0.004433,0.744634,0.006372,0.819356,0.007748,0.483143,0.005074,0.607809,0.003039,0.848378,0.005455,0.484987,0.005093,0.617133,0.003649,260.69,0.30
Houston,9;14,highway;running track,15,0.541275,0.034319,0.464731,0.031350,0.501911,0.037413,0.845172,0.001879,0.854980,0.002744,0.832747,0.001980,0.841994,0.004098,0.867299,0.023128,0.854252,0.009707,0.861843,0.003585,0.810367,0.033051,0.834898,0.016727,254.75,0.31
Houston,2;11,synthetic grass;the first kind of parking lot,15,0.577393,0.026800,0.497686,0.033842,0.540204,0.029517,0.780757,0.007590,0.784840,0.005387,0.763193,0.008150,0.869647,0.007153,0.177632,0.033143,0.293488,0.047966,0.884085,0.005316,0.139749,0.026362,0.240287,0.040838,250.56,0.30
HS-SAR-Berlin,1;2,residential area;industrial area,8,0.304441,0.004579,0.490448,0.034082,0.237170,0.006613,0.372379,0.000826,0.734649,0.003209,0.326947,0.002741,0.959491,0.001342,0.012910,0.000983,0.025475,0.001913,0.947838,0.003011,0.095083,0.007237,0.172747,0.011943,471.30,0.55
HS-SAR-Berlin,0;5,forest;allotment,8,0.710234,0.007058,0.384242,0.026717,0.485781,0.020827,0.852294,0.003720,0.707414,0.006143,0.759336,0.005808,0.961397,0.001110,0.218675,0.028371,0.355400,0.037299,0.897950,0.007106,0.135808,0.017620,0.235469,0.026377,2199.97,1.76
HS-SAR-Berlin,4;6,soil;commercial area,8,0.765439,0.003378,0.389597,0.007439,0.601157,0.003254,0.899566,0.000830,0.750158,0.006064,0.834489,0.001601,0.961844,0.000715,0.276889,0.015317,0.429761,0.018252,0.888323,0.004887,0.335665,0.018569,0.486931,0.019400,495.42,0.61
HS-SAR-Berlin,0;4,forest;soil,8,0.687531,0.011113,0.302120,0.022145,0.446905,0.021641,0.849956,0.001611,0.757360,0.005794,0.757610,0.002625,0.954551,0.000980,0.283057,0.011319,0.436511,0.013331,0.867387,0.006318,0.427281,0.022255,0.572146,0.019238,469.26,0.50
HS-SAR-Berlin,3;7,low plants;water,8,0.707857,0.006897,0.398012,0.017630,0.475730,0.023016,0.819397,0.000910,0.684701,0.005804,0.709515,0.002090,0.952581,0.001050,0.014246,0.001238,0.028070,0.002405,0.889463,0.008260,0.070417,0.006119,0.130428,0.010511,464.80,0.53
MUUFL,6;9,building shadow;yellow curb,11,0.708601,0.024814,0.357558,0.021865,0.607186,0.033004,0.820119,0.006202,0.691301,0.009904,0.766576,0.007935,0.825174,0.006487,0.712816,0.030399,0.764520,0.017390,0.759261,0.011867,0.385479,0.016439,0.511097,0.014480,45.29,0.06
MUUFL,4;5,road;water,11,0.684677,0.006448,0.383078,0.010391,0.577887,0.008705,0.802851,0.008905,0.623913,0.012815,0.741786,0.011787,0.854151,0.008752,0.469090,0.026797,0.605155,0.022835,0.705924,0.014732,0.254865,0.011288,0.374381,0.013014,45.16,0.05
MUUFL,0;6,trees;building shadow,11,0.369131,0.009173,0.357272,0.005034,0.291279,0.010053,0.659581,0.003895,0.667038,0.008743,0.590277,0.004825,0.775433,0.009659,0.531342,0.007668,0.630500,0.004157,0.671346,0.011651,0.647655,0.010104,0.659152,0.005435,39.19,0.03
MUUFL,4;8,road;sidewalk,11,0.686301,0.004916,0.381052,0.011755,0.581921,0.006494,0.825735,0.006289,0.686226,0.012897,0.770272,0.008525,0.873429,0.004197,0.556202,0.047001,0.678417,0.034102,0.748730,0.011547,0.404961,0.035946,0.524759,0.030955,41.88,0.05
MUUFL,3;4,dirt or sand;road,11,0.675014,0.009278,0.343539,0.013483,0.564737,0.011028,0.817958,0.008473,0.690274,0.013604,0.761016,0.011321,0.856341,0.007964,0.614272,0.050617,0.714093,0.033538,0.693922,0.011758,0.673861,0.034051,0.683386,0.020961,28.93,0.03
