dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
Houston,1;2,healthy grass;stressed grass,15,0.540014,0.000000,0.494558,0.000000,0.500453,0.000000,0.444499,0.000000,0.462956,0.000000,0.397284,0.000000,0.517702,0.000000,0.078604,0.000000,0.136486,0.000000,0.522103,0.000000,0.078505,0.000000,0.136488,0.000000,325.97,0.41
Houston,1;3,healthy grass;synthetic grass,15,0.570217,0.000000,0.492877,0.000000,0.532343,0.000000,0.462509,0.000000,0.462884,0.000000,0.416236,0.000000,0.531401,0.000000,0.000000,0.000000,0.000000,0.000000,0.534097,0.000000,0.000000,0.000000,0.000000,0.000000,325.14,0.41
Houston,1;4,healthy grass;trees,15,0.482060,0.000000,0.419026,0.000000,0.437290,0.000000,0.457603,0.000000,0.473774,0.000000,0.411479,0.000000,0.548693,0.000000,0.000000,0.000000,0.000000,0.000000,0.546662,0.000000,0.000000,0.000000,0.000000,0.000000,325.27,0.41
Houston,1;5,healthy grass;soil,15,0.482270,0.000000,0.445019,0.000000,0.440107,0.000000,0.567765,0.000000,0.594997,0.000000,0.531718,0.000000,0.680669,0.000000,0.000000,0.000000,0.000000,0.000000,0.686535,0.000000,0.000000,0.000000,0.000000,0.000000,325.16,0.40
Houston,1;6,healthy grass;water,15,0.546041,0.000000,0.478892,0.000000,0.506923,0.000000,0.537141,0.000000,0.533658,0.000000,0.497885,0.000000,0.600047,0.000000,0.000000,0.000000,0.000000,0.000000,0.615759,0.000000,0.000000,0.000000,0.000000,0.000000,324.96,0.40
Houston,1;7,healthy grass;residential buildings,15,0.511423,0.000000,0.467221,0.000000,0.470061,0.000000,0.447022,0.000000,0.464593,0.000000,0.399994,0.000000,0.537043,0.000000,0.000000,0.000000,0.000000,0.000000,0.536069,0.000000,0.000000,0.000000,0.000000,0.000000,325.01,0.40
Houston,1;8,healthy grass;commercial buildings,15,0.579327,0.000000,0.538577,0.000000,0.543963,0.000000,0.527540,0.000000,0.559021,0.000000,0.488026,0.000000,0.583228,0.000000,0.247784,0.000000,0.347804,0.000000,0.606791,0.000000,0.248518,0.000000,0.352618,0.000000,325.09,0.41
Houston,1;9,healthy grass;road,15,0.501892,0.000000,0.450354,0.000000,0.459765,0.000000,0.496987,0.000000,0.533019,0.000000,0.454859,0.000000,0.596317,0.000000,0.000000,0.000000,0.000000,0.000000,0.615022,0.000000,0.000000,0.000000,0.000000,0.000000,325.02,0.42
Houston,1;10,healthy grass;highway,15,0.602032,0.000000,0.582773,0.000000,0.569290,0.000000,0.487526,0.000000,0.509153,0.000000,0.444198,0.000000,0.518755,0.000000,0.329367,0.000000,0.402915,0.000000,0.536313,0.000000,0.332618,0.000000,0.410590,0.000000,324.88,0.40
Houston,1;11,healthy grass;railway,15,0.555501,0.000000,0.508040,0.000000,0.517683,0.000000,0.429222,0.000000,0.453613,0.000000,0.380772,0.000000,0.514317,0.000000,0.000000,0.000000,0.000000,0.000000,0.523399,0.000000,0.000000,0.000000,0.000000,0.000000,289.32,0.41
Houston,1;12,healthy grass;the first kind of parking lot,15,0.580589,0.000000,0.529559,0.000000,0.545054,0.000000,0.478276,0.000000,0.513219,0.000000,0.434491,0.000000,0.573000,0.000000,0.000000,0.000000,0.000000,0.000000,0.592176,0.000000,0.000000,0.000000,0.000000,0.000000,325.17,0.40
Houston,1;13,healthy grass;the second kind of parking lot,15,0.544359,0.000000,0.473705,0.000000,0.504535,0.000000,0.618921,0.000000,0.625279,0.000000,0.586938,0.000000,0.698900,0.000000,0.000000,0.000000,0.000000,0.000000,0.721476,0.000000,0.000000,0.000000,0.000000,0.000000,325.34,0.41
Houston,1;14,healthy grass;tennis court,15,0.559495,0.000000,0.489508,0.000000,0.521046,0.000000,0.544919,0.000000,0.529172,0.000000,0.506010,0.000000,0.613443,0.000000,0.000000,0.000000,0.000000,0.000000,0.610583,0.000000,0.000000,0.000000,0.000000,0.000000,325.14,0.42
Houston,1;15,healthy grass;running track,15,0.570498,0.000000,0.483364,0.000000,0.532784,0.000000,0.482971,0.000000,0.487662,0.000000,0.438707,0.000000,0.553352,0.000000,0.000000,0.000000,0.000000,0.000000,0.562687,0.000000,0.000000,0.000000,0.000000,0.000000,323.76,0.41
Houston,2;3,stressed grass;synthetic grass,15,0.618921,0.000000,0.569793,0.000000,0.586123,0.000000,0.511212,0.000000,0.513185,0.000000,0.469328,0.000000,0.572441,0.000000,0.100917,0.000000,0.171586,0.000000,0.580059,0.000000,0.078505,0.000000,0.138294,0.000000,323.04,0.40
Houston,2;4,stressed grass;trees,15,0.498598,0.000000,0.447344,0.000000,0.455749,0.000000,0.493973,0.000000,0.507894,0.000000,0.451080,0.000000,0.576736,0.000000,0.078836,0.000000,0.138712,0.000000,0.573954,0.000000,0.078505,0.000000,0.138119,0.000000,322.91,0.40
Houston,2;5,stressed grass;soil,15,0.497687,0.000000,0.451046,0.000000,0.455815,0.000000,0.566013,0.000000,0.596482,0.000000,0.529783,0.000000,0.663025,0.000000,0.078903,0.000000,0.141023,0.000000,0.676171,0.000000,0.078505,0.000000,0.140678,0.000000,323.04,0.40
Houston,2;6,stressed grass;water,15,0.515487,0.000000,0.441139,0.000000,0.473230,0.000000,0.560687,0.000000,0.553653,0.000000,0.523461,0.000000,0.611855,0.000000,0.124750,0.000000,0.207245,0.000000,0.626752,0.000000,0.078505,0.000000,0.139533,0.000000,322.89,0.41
