dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time,combined_score
Houston,0;1,healthy grass;stressed grass,15,0.513146,0.026246,0.459595,0.026272,0.471648,0.028613,0.766769,0.007926,0.802396,0.006684,0.747844,0.008593,0.836448,0.009457,0.418495,0.005132,0.557838,0.005046,0.861539,0.007682,0.417968,0.005125,0.562838,0.004939,332.2,0.31,1.120676
Houston,0;4,healthy grass;soil,15,0.535487,0.030114,0.497973,0.031583,0.497753,0.032622,0.766559,0.005642,0.80028,0.004907,0.747733,0.006076,0.844695,0.006557,0.373638,0.01304,0.517955,0.012316,0.865698,0.005417,0.375064,0.013089,0.523235,0.012573,330.3,0.42,1.04119
Houston,0;7,healthy grass;commercial buildings,15,0.585929,0.011179,0.536763,0.011391,0.55089,0.01239,0.760911,0.003103,0.79773,0.003661,0.741582,0.003347,0.836014,0.003831,0.383622,0.007284,0.525868,0.006701,0.861265,0.004804,0.384752,0.007298,0.531834,0.006487,408.63,0.49,1.057702
Houston,0;9,healthy grass;highway,15,0.595123,0.017356,0.544331,0.024059,0.560853,0.018991,0.753259,0.002971,0.791581,0.003748,0.733372,0.00317,0.836956,0.003135,0.329367,0.002328,0.472707,0.00286,0.862191,0.00413,0.332618,0.002351,0.48004,0.002832,423.24,0.5,0.952747
Houston,0;10,healthy grass;railway,15,0.593441,0.028823,0.547331,0.047432,0.559223,0.03182,0.762663,0.00716,0.798429,0.005886,0.743569,0.007761,0.858678,0.012205,0.278357,0.085732,0.411547,0.110032,0.878671,0.011784,0.276857,0.085225,0.412365,0.110626,422.54,0.49,0.823912
Houston,0;11,healthy grass;the first kind of parking lot,15,0.581668,0.01828,0.531206,0.014922,0.546186,0.019628,0.761948,0.012922,0.797263,0.010399,0.742933,0.013921,0.861724,0.005581,0.25816,0.081834,0.389218,0.109418,0.880487,0.005721,0.256313,0.081248,0.389116,0.109738,422.71,0.49,0.7783340000000001
Houston,0;14,healthy grass;running track,15,0.560547,0.01149,0.486947,0.015299,0.522348,0.012764,0.779874,0.003055,0.801915,0.002015,0.762588,0.003399,0.854484,0.003805,0.267879,0.032055,0.406757,0.037304,0.871211,0.004383,0.351493,0.035009,0.499778,0.035158,422.13,0.49,0.906535
Houston,1;2,stressed grass;synthetic grass,15,0.571899,0.026076,0.490859,0.026536,0.534193,0.028489,0.795179,0.009127,0.796243,0.007871,0.778349,0.009872,0.837594,0.011064,0.510955,0.012421,0.634564,0.008943,0.857591,0.009513,0.397481,0.009663,0.54309,0.00859,422.47,0.49,1.177654
Houston,1;3,stressed grass;trees,15,0.541766,0.023288,0.505851,0.034153,0.50312,0.02595,0.783966,0.00808,0.815103,0.007231,0.766393,0.008722,0.85369,0.010895,0.434233,0.023046,0.575188,0.019426,0.873927,0.009122,0.432753,0.023067,0.578423,0.020118,422.56,0.49,1.1536110000000002
Houston,1;4,stressed grass;soil,15,0.52946,0.014712,0.487724,0.016979,0.490886,0.015631,0.760883,0.0073,0.796309,0.005158,0.741423,0.00788,0.833429,0.009576,0.396624,0.009283,0.537357,0.00768,0.858106,0.006476,0.394626,0.009236,0.540538,0.008166,421.93,0.49,1.0778949999999998
Houston,1;5,stressed grass;water,15,0.604541,0.014753,0.538765,0.013261,0.570815,0.016039,0.820687,0.006375,0.799722,0.005615,0.805893,0.006906,0.843427,0.00896,0.626951,0.018913,0.718975,0.00989,0.862058,0.008032,0.394542,0.011902,0.541157,0.009917,422.13,0.49,1.260132
Houston,1;6,stressed grass;residential buildings,15,0.562901,0.027023,0.523499,0.029306,0.52645,0.029184,0.795823,0.008157,0.825342,0.007605,0.779236,0.008807,0.860278,0.011004,0.476242,0.01023,0.612947,0.00713,0.878786,0.010005,0.477952,0.010251,0.619018,0.006876,422.7,0.49,1.231965
Houston,1;7,stressed grass;commercial buildings,15,0.579902,0.048548,0.528743,0.070284,0.544055,0.053558,0.790133,0.004862,0.820634,0.004227,0.773098,0.005245,0.848764,0.006026,0.496037,0.002208,0.626128,0.001749,0.87039,0.005075,0.497221,0.002205,0.632882,0.001444,416.94,0.49,1.25901
Houston,1;8,stressed grass;road,15,0.560112,0.031793,0.516671,0.043301,0.523086,0.03515,0.786826,0.006183,0.817622,0.003783,0.769493,0.006669,0.859462,0.008179,0.42395,0.014788,0.567612,0.012656,0.878238,0.004824,0.423619,0.014789,0.571372,0.013117,421.88,0.49,1.138984
